"id_dataset","full_text","text_bersih","hasil_sentistrength","label_sentistrength","class"
"127","""KIPK rame banget. Apa kabar kartu prakerja? Apa kabar penerima KJP dan KJMU yang rumahnya gede dan punya mobil? Apa kabar kartu kartu bantuan lain? Apa kabar beras bantuan yang harusnya diterima warga RT terlebih dahulu tapi ketua RT nya malah ngasih ke keluarganya yg beda RT?""",,,,
"128","""Kartu Prakerja Gelombang 67 Telah Dibuka! Siap Meningkatkan Skill dan Raih Jutaan Rupiah? https://t.co/w745rS1VLz""",,,,
"129","""Ingin Dapat Insentif Rp4 2 Juta dari Kartu Prakerja Gelombang 67? Berikut Cara Daftarnya https://t.co/mU1atIhMr1""",,,,
"130","""Pendaftaran Kartu Prakerja Gelombang 67 Tahun 2024: Jadwal Syarat dan Panduan https://t.co/PAE5zVVo8l via @acuantodaycom""",,,,
"131","""Ingin Dapat Insentif Rp4 2 Juta dari Kartu Prakerja Gelombang 67? Berikut Cara Daftarnya https://t.co/0HYzcFEB4I""",,,,
"132","""Pendaftaran Program Kartu Prakerja Gelombang 67 Segera Dibuka Ini Cara dan Syarat Daftarnya https://t.co/ZOSSuvaAoP""",,,,
"133","""Yang minat daftar langsung Kartu Prakerja bisa cek caranya langsung di sini â¬‡ï¸ https://t.co/qlpC1ndr7B""",,,,
"134","""Informasi buat kalian yang minat pendaftaran Kartu Prakerja gelombang ke 67 udah dibuka cek jadwalnya di sini â¬‡ï¸ https://t.co/NrWKPiJruU""",,,,
"135","""Pemerintah sebenernya punya program namanya Kartu Prakerja kalian bisa nambah keterampilan sambil dapat uang juga. Apa manfaatnya sih buat yang pengangguran? â¬‡ï¸ https://t.co/4Pp4NadX1n""",,,,
"136","""Tips Lolos Daftar Kartu Prakerja Gelombang 67 2024 Berikut Syarat dan Cara Daftarnya #PraKerja #Daftar #Gelombang67 #berita #news https://t.co/olBHL8NY3Q""",,,,
"137","""@trawbelies Coba daftar kartu prakerja""",,,,
"138","""yang belum pernah ikut program kartu prakerja bisa ikut nih silakan daftar karna hari jumat bakal buka gelombang #zonauang""",,,,
"139","""Buka 3 Hari Lagi! Daftar Kartu Prakerja Gelombang 67 dan Dapatkan Insentif senilai Rp1 Juta hingga Rp2 4 juta! https://t.co/5rOauO79Lp""",,,,
"140","""Panduan Lengkap Pendaftaran dan Penggunaan Kartu Prakerja : Pelajari Keahlian Baru dan Raih Insentif Menarik https://t.co/OGDB1RfnwE""",,,,
"141","""Daftar Yuk Kartu Prakerja Gelombang 67 Mulai Dibuka https://t.co/lGBpPgEMZO lewat @Reformasi.co.id Gacoan undip CAT 1 Patung Kuda Syahrini Besarin Uzbek Tere Liye KIPK Indonesia""",,,,
"142","""Berikut panduan lengkap untuk membantumu menemukan pelatihan yang sesuai dengan minat dan kebutuhanmu: Selengkapnya dengan link: https://t.co/PDrzYaGRH1 #Prakerja #KartuPrakerja""",,,,
"143","""Link Pendaftaran Kartu Prakerja Gelombang 67: Rahasia Sukses Mendaftar dan Lolos Seleksi! https://t.co/gzyZ7pYD1T https://t.co/wwtx74OvXW""",,,,
"144","""Siap melangkah maju dan meraih mimpi? Pastikan kamu memenuhi syarat-syarat berikut: Selengkapnya dengan link: https://t.co/56Tg81iDzd #Prakerja #KartuPrakerja""",,,,
"145","""Kabar gembira! Pendaftaran Kartu Prakerja Gelombang 67 telah resmi dibuka pada 3 Mei 2024 Selengkapnya dengan link: https://t.co/mDmcsRsNed #Prakerja2024 #Prakerja""",,,,
"146","""Update terbaru tentang program Kartu Prakerja https://t.co/fl3w8DX2Ui""",,,,
"147","""Tips mencari pekerjaan setelah mengikuti pelatihan Kartu Prakerja https://t.co/nqFTac0qms""",,,,
"148","""Yuk Kepoin Tips Jitu Lolos Seleksi Kartu Prakerja Biar Bisa Upgrade Skill dan Cuan https://t.co/jNXWIfAprM""",,,,
"149","""Bagaimana Cara Menggunakan Saldo Kartu Prakerja Untuk Mengikuti Pelatihan ? Simak Caranya Di Sini Ya https://t.co/echxHXfMEf""",,,,
"150","""Bingung Mau Ikut Pelatihan Apa di Kartu Prakerja? Yuk Simak Tips Jitu Ini https://t.co/JUI7NMDZvp""",,,,
"151","""Mau Upgrade Skill dan Kantong Tebal ? Yuk Ikutan Pelatihan Kartu Prakerja Aja https://t.co/nDyN5ngp9h""",,,,
